ItemName,Description,Value
Institution Name,,"GOLDMAN SACHS GROUP, INC., THE"
Street Address,,200 WEST STREET
City,,NEW YORK
State,,NY
Zip Code,,10282
ID_RSSD,Reporting entity identifier,2380443
Report Date,,"December 31, 2024"
MRRRC490,PRINTED NAME OF SENIOR OFFICER,Sheara Fredman
MRRRC491,TITLE OF OFFICER,Managing Director
MRRRJ196,DATE OF SIGNATURE,12/31/2024
MRRR8901,NAME/TITLE OF PERSON TO WHOM QUESTIONS SHOULD BE DIRECTED,John Manzi
MRRR8902,AREA CODE/PHONE NUMBER OF PERSON TO WHOM QUESTIONS SHOULD BE DIRECTED,212-855-6915
MRRR9116,FAX NUMBER OF PERSON TO WHOM QUESTIONS SHOULD BE DIRECTED,212-256-4367
MRRR4086,EMAIL ADDRESS OF CONTACT TO WHOM QUESTIONS SHOULD BE DIRECTED,john.manzi@gs.com
MRRRS298,PREVIOUS DAYS VAR-BASED MEASURE,501253
MRRRS299,AVERAGE OF THE IMMEDIATELY PRECEDING 60 BUSINESS DAYS VAR-BASED MEASURES,533201
MRRRS300,MULTIPLICATION FACTOR: EQUAL TO A VALUE OF 3.00 OR HIGHER (BASED ON BACKTESTING),3.00
MRRRS301,"GREATER OF ITEM 1, PREVIOUS DAYS VAR-BASED MEASURE, OR (ITEM 2, AVERAGE OF THE IMMEDIATELY PRECEDING 60 BUSINESS DAYS VAR-BASED MEASURES, MULTIPLIED BY ITEM 3, MULTIPLICATION FACTOR: EQUAL TO A VALUE",1599603
MRRRS302,MOST RECENT STRESSED VAR-BASED MEASURE,1128290
MRRRS303,"ITEM 3, MULTIPLICATION FACTOR: EQUAL TO A VALUE OF 3.00 OR HIGHER, TIMES THE AVERAGE OF THE PRECEDING 12 WEEKS STRESSED VAR-BASED MEASURES",3859950
MRRRS304,"GREATER OF ITEM 5, MOST RECENT STRESSED VAR-BASED MEASURE, OR ITEM 6, ITEM 3, MULTIPLICATION FACTOR: EQUAL TO A VALUE OF 3.00 OR HIGHER, TIMES THE AVERAGE OF THE PRECEDING 12 WEEKS STRESSED VAR-BASED",3859950
MRRRS305,SPECIFIC RISK ADD-ONS: DEBT POSITIONS,336691
MRRRS306,SPECIFIC RISK ADD-ONS: EQUITY POSITIONS,142161
MRRRS307,"SPECIFIC RISK ADD-ONS: FOR ALL INSTITUTIONS, CAPITAL REQUIREMENTS FOR SECURITIZATION POSITIONS USING THE SIMPLIFIED SUPERVISORY FORMULA APPROACH (SSFA) OR APPLYING A SPECIFIC RISK-WEIGHTING FACTOR OF",1052156
MRRRS308,"SPECIFIC RISK ADD-ONS: FOR ADVANCED APPROACHES INSTITUTIONS, CAPITAL REQUIREMENTS FOR SECURITIZATION POSITIONS USING THE SUPERVISORY FORMULA APPROACH (SFA)",0
